ID;Godzina rozpocz©cia;Godzina ukoäczenia;Adres e-mail;Nazwa;Czas ostatniej modyfikacji;Masz jaki˜ pomysˆ na projekt data? Napisz nam o tym. Je¾eli to nie ten moment, pozostaw puste pole.;W jaki spos¢b chcesz uczestniczy† w Community?;Programming: R;Programming: Python;Programming: Bash;Version Control: GIT;Containers: Docker;CLI: (np. Bash, PowerShell, CMD);Front End: (HTML, JavaScript, CSS);Databases: SQL;Databases: NoSQL;Cloud: Azure;Cloud: AWS;Cloud: GPC;BI: PowerBI;BI: Tableau;Area: Time Series;Area: Classical ML (Clustering, Regression, Classification);Area: NLP;Area: Computer Vision;Project Management;Promocja w Social Media;Ux/Ui;Projektowanie graficzne;Nawi¥zywanie Relacji z Biznesem;Nawi¥zywanie Relacji z naukowcami;Pozyskiwanie finansowania;Wsp¢ˆpraca z administracj¥ UEW;Je¾eli jest obszar, na kt¢rym si© znasz i chcesz go wykorzysta†, dopisz go:;FinTech;HealthTech;FashionTech;E-commerce;SportTech;Non-profit;PropTech (nieruchomo˜ci);Cybersecurity;HR;Je¾eli pomini©to bran¾©, na kt¢rej si© znasz dopisz j¥:
11;3.5.24 16:32:10;3.5.24 16:47:31;anonymous;;;Pomysˆu na projekt nie posiadam w tym momencie ale wydaj© mi si©, ¾e mo¾na by byˆo rozpowszechni† informacje na temat github student developer pack https://education.github.com/students, a tak¾e aby jeden ze student¢w aplikowaˆ na campus experta (nast©pna aplikacja w sierpniu) w caˆej Polsce jest tylko dw¢ch jeden na PWr prowadzi PWrski (https://wmsdev.pl/) a drugi na WAT;Chc© uczestniczy† w projekcie data;2;2;1;2;0;2;1;2;2;2;2;2;2;0;0;0;0;0;0;0;0;0;3;0;0;0;;3;2;1;2;2;2;2;2;1;
12;3.5.24 16:39:56;3.5.24 16:53:41;anonymous;;;Stworzy† projekt zwi¥zany z blockchainem Flare kt¢ry dostarcza dane na temat innych blockchain¢w i internetu. Dodatkowo ten projekt ma uruchomiony program grant¢w. Tutaj link do strony Flare= > https://flare.network/;Chc© uczestniczy† w projekcie data;0;2;0;3;0;1;3;2;2;2;2;2;2;0;0;0;0;0;2;2;2;1;2;2;2;0;;2;2;2;3;2;2;2;2;2;
13;3.5.24 15:43:47;3.5.24 16:54:44;anonymous;;;"Projekt aplikacji lub strony internetowej kt¢ra robi analiz© statystyczn¥ danych z messengera (kto najwi©cej pisze, najpopularniejsze reakcje/sˆowa/wiadomo˜ci, historia nick¢w itp.). Og¢lnie co si© wymy˜li mo¾na zrobi†. To byˆaby pierwsza cz©˜† projektu, taka bardziej praca na danych i ich wizualizacja.

Drug¥ byˆaby cz©˜† zwi¥zana z du¾ymi modelami j©zykowymi. Na przykˆad analiza sentymentu wiadomo˜ci (pozytywne, neutralne, negatywne), przewidywanie kolejnych wiadomo˜ci, stworzenie bota danej osoby poprzez uczenie modelu jak pisaˆa wcze˜niej. 

Dane z messengera mo¾na pobra† z Facebooka, wystarczy wypeˆni† zgˆoszenie (sam to zrobiˆem i wykonaˆem kilka analiz). Og¢lnie my˜l© ¾e ten projekt mo¾e by† dobrym wprowadzeniem do modeli j©zykowych, jak r¢wnie¾ samej analizy danych.
 
Na plus ¾e jest bardzo modularny, czyli mo¾emy go rozbudowywa† tak dˆuga jak b©dziemy mie† nowe pomysˆy na analiz© (moim dodatkowym jest zrobienie co˜ w stylu Spotify wrapped, kt¢re pokazuje twoje statystyki z caˆego roku na przestrzeni wszystkich wiadomo˜ci, albo roczne  podsumowanie grupki). 
Drugi plus jest taki ¾e danych kt¢re b©dziemy analizowa† jest bardzo du¾o (tylko w moim przypadku mam grup© na messengerze kt¢ra ma ponad milion wiadomo˜ci), i s¥ bardzo r¢¾norodne (ka¾dy pisze z ka¾dym troch© inaczej, jest slang itp.) 
A poza tym czy ka¾dy nie chciaˆby zna† ciekawych statystyk wˆasnej grupki?
Co do bezpieczeästwa danych, bo s¥ to w koäcu prywatne konwersacje, przetwarzanie i analiza b©dzie si© odbywaˆa lokalnie, a nie na jakim˜ serwerze.
 ";Chc© uczestniczy† w projekcie data;3;3;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;1;;3;2;2;2;2;2;2;1;1;
14;3.5.24 17:06:31;3.5.24 17:14:39;anonymous;;;;Chc© uczestniczy† w projekcie data;0;2;0;1;0;0;0;4;1;0;0;0;3;1;1;0;0;0;1;0;1;2;0;0;0;0;Excel, SQL, PowerBI;0;1;0;2;0;0;0;0;0;
15;3.5.24 17:15:44;3.5.24 17:19:06;anonymous;;;;Chc© uczestniczy† w projekcie data;2;2;0;0;0;0;2;2;2;2;2;2;2;2;0;0;0;0;3;3;2;1;2;1;1;1;Umiem bardzo dobrze rozplanowa† obowi¥zki swoje i os¢b z kt¢rymi miaˆem przyjemno˜† wsp¢ˆpracowa† :D;2;2;1;3;2;3;1;2;1;
16;3.5.24 17:31:01;3.5.24 17:35:31;anonymous;;;;Chc© uczestniczy† w projekcie data;2;2;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;1;0;0;1;0;0;0;;1;0;0;1;0;0;1;0;1;
17;3.5.24 17:34:15;3.5.24 17:39:13;anonymous;;;dopasowanie kandydat¢w do ofert pracy - liczenie scoringu na podstawie umiej©tno˜ci i ch©ci rozwoju;"Chc© uczestniczy† w projekcie data i organizowa† ""¾ycie"" Community";4;4;3;4;4;3;3;3;3;3;3;4;2;3;4;4;4;2;4;2;3;1;4;4;3;3;;3;2;2;4;2;3;2;2;3;
18;3.5.24 17:28:17;3.5.24 17:40:24;anonymous;;;;Chc© uczestniczy† w projekcie data;2;2;0;0;0;1;1;2;2;0;0;0;2;2;0;0;0;0;1;1;2;3;2;2;2;2;;0;0;0;0;0;0;0;0;0;
19;3.5.24 17:29:14;3.5.24 18:13:38;anonymous;;;;Chc© uczestniczy† w projekcie data;2;2;2;3;2;2;2;3;2;2;0;0;0;0;0;3;2;0;1;1;2;2;1;2;1;1;;0;0;0;0;0;0;0;0;0;
20;3.5.24 18:22:43;3.5.24 18:29:08;anonymous;;;Jako ¾e zajmuj© si© gˆ¢wnie SQL-em moim pomysˆem jest zrobienie czego˜ w stylu generatora kodu SQL-a przy wykorzystaniu rekurencyjnych CTE, dzi©ki czemu poˆ¥czenia mi©dzy tabelami w relacyjnej bazie danych mog¥ zosta† wykorzystane do utworzenia czego˜ na zasadzie bazy grafowej. P¢ki co jest to bardziej wizja ni¾ jaki˜ powa¾ny pomysˆ - zakˆadam, ¾e mo¾e by† bezu¾yteczny, bior¥c pod uwag©, ¾e to SQL.;Chc© uczestniczy† w projekcie data;1;3;1;1;1;1;1;4;3;3;1;1;3;3;1;3;2;1;1;1;1;1;1;1;1;1;;0;0;0;0;0;0;0;0;0;
21;3.5.24 18:29:19;3.5.24 18:32:03;anonymous;;;;Chc© uczestniczy† w projekcie data;2;3;2;3;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;;2;2;0;2;0;2;0;2;1;
22;3.5.24 19:37:40;3.5.24 19:40:19;anonymous;;;;Chc© uczestniczy† w projekcie data;3;2;0;0;0;0;2;3;2;2;2;2;3;2;0;0;0;0;2;2;0;0;0;0;0;0;;0;0;0;2;0;0;0;2;0;
